time,power
1543463713.42,77.0
1543463714.56,76.0
1543463715.57,76.0
1543463716.6,79.0
1543463717.8,82.0
1543463718.8,80.0
1543463719.83,76.0
1543463720.85,79.0
1543463721.89,93.0
1543463722.9,117.0
1543463723.91,93.0
1543463724.94,80.0
1543463725.96,76.0
1543463727.06,87.0
1543463728.09,80.0
1543463729.11,80.0
1543463730.11,76.0
1543463731.14,76.0
1543463732.23,76.0
1543463733.24,78.0
1543463734.25,128.0
1543463735.27,97.0
1543463736.28,78.0
1543463737.3,76.0
1543463738.34,76.0
1543463739.39,76.0
1543463740.41,76.0
1543463741.42,75.0
1543463742.42,76.0
1543463743.42,75.0
1543463744.43,75.0
1543463745.43,117.0
1543463746.45,125.0
1543463747.46,86.0
1543463748.48,76.0
1543463749.49,76.0
1543463750.62,77.0
1543463751.64,76.0
1543463752.65,75.0
1543463753.79,76.0
1543463754.79,75.0
1543463755.84,76.0
1543463756.85,105.0
1543463757.88,141.0
1543463759.02,89.0
1543463760.03,79.0
1543463761.03,76.0
1543463762.24,80.0
1543463763.27,76.0
1543463764.29,76.0
1543463765.32,76.0
1543463766.35,76.0
1543463767.45,76.0
1543463768.46,90.0
1543463769.61,170.0
1543463770.61,134.0
1543463771.86,82.0
1543463772.9,77.0
1543463773.93,76.0
1543463774.96,76.0
1543463775.98,75.0
1543463777.16,76.0
1543463778.38,76.0
1543463779.5,76.0
1543463780.53,84.0
1543463781.56,140.0
1543463782.56,198.0
1543463783.59,112.0
1543463784.63,92.0
1543463785.66,76.0
1543463786.67,82.0
1543463787.69,76.0
1543463788.72,76.0
1543463789.72,76.0
1543463790.75,76.0
1543463791.91,76.0
1543463792.93,76.0
1543463793.97,116.0
1543463794.98,189.0
1543463795.99,154.0
1543463797.01,103.0
1543463798.02,81.0
1543463799.05,77.0
1543463800.08,76.0
1543463801.08,76.0
1543463802.33,76.0
1543463803.39,76.0
1543463804.53,75.0
1543463805.54,76.0
1543463806.56,78.0
1543463807.58,135.0
1543463808.61,211.0
1543463809.62,207.0
1543463810.65,112.0
1543463811.65,90.0
1543463812.66,80.0
1543463813.69,76.0
1543463814.72,79.0
1543463815.75,76.0
1543463816.85,76.0
1543463817.89,76.0
1543463818.93,76.0
1543463819.94,76.0
1543463820.95,87.0
1543463821.95,134.0
1543463823.0,210.0
1543463824.01,215.0
1543463825.01,191.0
1543463826.05,108.0
1543463827.09,91.0
1543463828.16,77.0
1543463829.3,77.0
1543463830.33,80.0
1543463831.63,77.0
1543463832.68,76.0
1543463833.71,76.0
1543463834.73,76.0
1543463835.79,76.0
1543463836.86,109.0
1543463837.87,148.0
1543463838.9,221.0
1543463839.92,219.0
1543463840.94,211.0
1543463841.96,179.0
1543463842.97,108.0
1543463843.99,99.0
1543463845.0,80.0
1543463846.0,76.0
1543463847.01,81.0
1543463848.03,75.0
1543463849.1,75.0
1543463850.11,75.0
1543463851.17,75.0
1543463852.18,75.0
1543463853.2,75.0
1543463854.22,124.0
1543463855.4,155.0
1543463856.41,182.0
1543463857.44,219.0
1543463858.49,220.0
1543463859.49,217.0
1543463860.52,214.0
1543463861.54,216.0
1543463862.55,215.0
1543463863.57,220.0
1543463864.57,202.0
1543463865.6,193.0
1543463866.62,194.0
1543463867.64,196.0
1543463868.65,99.0
1543463869.72,80.0
1543463870.74,77.0
1543463871.8,78.0
1543463872.81,77.0
1543463873.87,87.0
1543463874.89,90.0
1543463875.91,91.0
1543463876.92,111.0
1543463877.92,85.0
1543463878.96,76.0
1543463879.99,78.0
1543463880.99,79.0
1543463882.02,77.0
1543463883.21,76.0
1543463884.25,76.0
1543463885.26,76.0
1543463886.27,76.0
1543463887.42,100.0
1543463888.46,157.0
1543463889.49,159.0
1543463890.53,150.0
1543463891.63,199.0
1543463892.65,219.0
1543463893.92,219.0
1543463894.93,216.0
1543463895.94,215.0
1543463896.94,218.0
1543463898.2,219.0
1543463899.8,205.0
1543463900.81,221.0
1543463901.83,221.0
1543463902.83,208.0
1543463903.84,215.0
1543463904.94,221.0
